date,ceo,company,positive,neutral,negative,total,neg_pct,theme,alias
2025-10-02,Doug McMillon,Walmart,1,17,7,25,28.0,,Doug McMillon Walmart
2025-10-02,Andrew Jassy,Amazon,11,10,4,25,16.0,,Andrew Jassy Amazon
2025-10-02,Stephen Hemsley,UnitedHealth,4,16,5,25,20.0,,Stephen Hemsley UnitedHealth
2025-10-02,Tim Cook,Apple,7,13,5,25,20.0,,Tim Cook Apple
2025-10-02,David Joyner,CVS Health,5,18,2,25,8.0,,David Joyner CVS Health
2025-10-02,Warren Buffett,Berkshire Hathaway,3,15,7,25,28.0,,Warren Buffett Berkshire Hathaway
2025-10-02,Sundar Pichai,Alphabet,7,13,5,25,20.0,,Sundar Pichai Alphabet
2025-10-02,Darren Woods,Exxon Mobil,6,11,8,25,32.0,,Darren Woods Exxon Mobil
2025-10-02,Brian Tyler,McKesson,4,14,7,25,28.0,,Brian Tyler McKesson
2025-10-02,Robert Mauch,Cencora,4,12,1,17,5.9,,Robert Mauch Cencora
2025-10-02,Jamie Dimon,JPMorgan Chase,3,15,7,25,28.0,,Jamie Dimon JPMorgan Chase
2025-10-02,Ron Vachris,Costco,5,18,2,25,8.0,,Ron Vachris Costco
2025-10-02,David Cordani,Cigna,14,10,1,25,4.0,,David Cordani Cigna
2025-10-02,Satya Nadella,Microsoft,7,14,4,25,16.0,,Satya Nadella Microsoft
2025-10-02,Jason Hollar,Cardinal Health,5,15,5,25,20.0,,Jason Hollar Cardinal Health
2025-10-02,Mike Wirth,Chevron,8,11,6,25,24.0,,Mike Wirth Chevron
2025-10-02,Brian Moynihan,Bank of America,2,21,2,25,8.0,,Brian Moynihan Bank of America
2025-10-02,Mary Barra,General Motors,10,12,3,25,12.0,,Mary Barra General Motors
2025-10-02,Jim Farley,Ford Motor,5,12,8,25,32.0,,Jim Farley Ford Motor
2025-10-02,Gail Boudreaux,Elevance Health,12,8,5,25,20.0,,Gail Boudreaux Elevance Health
2025-10-02,Jane Fraser,Citigroup,7,17,1,25,4.0,,Jane Fraser Citigroup
2025-10-02,Mark Zuckerberg,Meta Platforms,5,13,7,25,28.0,,Mark Zuckerberg Meta Platforms
2025-10-02,Sarah London,Centene,10,8,7,25,28.0,,Sarah London Centene
2025-10-02,Ted Decker,Home Depot,8,15,2,25,8.0,,Ted Decker Home Depot
2025-10-02,Priscilla Almodovar,Fannie Mae,7,5,13,25,52.0,,Priscilla Almodovar Fannie Mae
2025-10-02,Ron Sargent,Kroger,3,15,7,25,28.0,,Ron Sargent Kroger
2025-10-02,Mark Lashier,Phillips 66,9,10,6,25,24.0,,Mark Lashier Phillips 66
2025-10-02,Maryann Mannen,Marathon Petroleum,5,17,3,25,12.0,,Maryann Mannen Marathon Petroleum
2025-10-02,Hans Vestberg,Verizon,12,9,4,25,16.0,,Hans Vestberg Verizon
2025-10-02,Jensen Huang,Nvidia,7,14,4,25,16.0,,Jensen Huang Nvidia
2025-10-02,David Solomon,Goldman Sachs,7,13,5,25,20.0,,David Solomon Goldman Sachs
2025-10-02,Charles Scharf,Wells Fargo,16,4,5,25,20.0,,Charles Scharf Wells Fargo
2025-10-02,Lane Riggs,Valero Energy,12,11,2,25,8.0,,Lane Riggs Valero Energy
2025-10-02,Brian Roberts,Comcast,4,19,2,25,8.0,,Brian Roberts Comcast
2025-10-02,Jon Farney,State Farm Insurance,3,16,6,25,24.0,,Jon Farney State Farm Insurance
2025-10-02,John Stankey,AT&T,7,13,5,25,20.0,,John Stankey AT&T
2025-10-02,Michael Hutchins,Freddie Mac,2,21,2,25,8.0,,Michael Hutchins Freddie Mac
2025-10-02,Jim Rechtin,Humana,12,11,2,25,8.0,,Jim Rechtin Humana
2025-10-02,Ted Pick,Morgan Stanley,11,12,2,25,8.0,,Ted Pick Morgan Stanley
2025-10-02,Michael Fiddelke,Target,5,15,5,25,20.0,,Michael Fiddelke Target
2025-10-02,Philip Smith,StoneX Group,6,17,0,23,0.0,,Philip Smith StoneX Group
2025-10-02,Elon Musk,Tesla,7,16,2,25,8.0,,Elon Musk Tesla
2025-10-02,Michael Dell,Dell Technologies,3,19,3,25,12.0,,Michael Dell Dell Technologies
2025-10-02,Ramon Laguarta,PepsiCo,5,15,5,25,20.0,,Ramon Laguarta PepsiCo
2025-10-02,Bob Iger,Walt Disney,3,14,8,25,32.0,,Bob Iger Walt Disney
2025-10-02,Carol Tome,UPS,8,7,10,25,40.0,,Carol Tome UPS
2025-10-02,Joaquin Duato,Johnson & Johnson,9,9,7,25,28.0,,Joaquin Duato Johnson & Johnson
2025-10-02,Rajesh Subramaniam,FedEx,7,12,6,25,24.0,,Rajesh Subramaniam FedEx
2025-10-02,Juan Luciano,Archer Daniels Midland,1,8,16,25,64.0,,Juan Luciano Archer Daniels Midland
2025-10-02,Jon Moeller,Procter & Gamble,0,16,9,25,36.0,,Jon Moeller Procter & Gamble
2025-10-02,Marvin Ellison,Lowe's,10,10,5,25,20.0,,Marvin Ellison Lowe's
2025-10-02,Thomas Long,Energy Transfer,18,1,6,25,24.0,,Thomas Long Energy Transfer
2025-10-02,Christopher Calio,RTX,4,18,3,25,12.0,,Christopher Calio RTX
2025-10-02,Susan Morris,Albertsons,4,20,1,25,4.0,,Susan Morris Albertsons
2025-10-02,Kevin Hourican,Sysco,6,15,4,25,16.0,,Kevin Hourican Sysco
2025-10-02,Tricia Griffith,Progressive Insurance,9,14,2,25,8.0,,Tricia Griffith Progressive Insurance
2025-10-02,Stephen Squeri,American Express,9,15,1,25,4.0,,Stephen Squeri American Express
2025-10-02,James Taiclet,Lockheed Martin,9,7,9,25,36.0,,James Taiclet Lockheed Martin
2025-10-02,Michel Khalaf,MetLife,9,14,2,25,8.0,,Michel Khalaf MetLife
2025-10-02,Samuel Hazen,HCA Healthcare,10,12,3,25,12.0,,Samuel Hazen HCA Healthcare
2025-10-02,Andrew Sullivan,Prudential Financial,8,16,1,25,4.0,,Andrew Sullivan Prudential Financial
2025-10-02,Kelly Ortberg,Boeing,5,18,2,25,8.0,,Kelly Ortberg Boeing
2025-10-02,Joe Creed,Caterpillar,6,18,1,25,4.0,,Joe Creed Caterpillar
2025-10-02,Robert M Davis,Merck,3,17,5,25,20.0,,Robert M Davis Merck
2025-10-02,Thomas J Wilson,Allstate,5,14,6,25,24.0,,Thomas J Wilson Allstate
2025-10-02,Albert Bourla,Pfizer,5,10,10,25,40.0,,Albert Bourla Pfizer
2025-10-02,Arvind Krishna,IBM,7,14,4,25,16.0,,Arvind Krishna IBM
2025-10-02,Craig DeSanto,New York Life Insurance,3,22,0,25,0.0,,Craig DeSanto New York Life Insurance
