date,company,positive,neutral,negative,total,neg_pct
2025-11-16,3M Company,16,22,12,50,0.240000
2025-11-16,A O Smith,12,37,1,50,0.020000
2025-11-16,A-Mark Precious Metals,46,4,0,50,0.000000
2025-11-16,ABM Industries,27,14,9,50,0.180000
2025-11-16,ADT,23,20,7,50,0.140000
2025-11-16,AECOM,25,25,0,50,0.000000
2025-11-16,AES,15,29,6,50,0.120000
2025-11-16,AGCO,24,20,6,50,0.120000
2025-11-16,AGNC Investment,20,20,10,50,0.200000
2025-11-16,AIG,16,29,5,50,0.100000
2025-11-16,AMC Entertainment,41,7,2,50,0.040000
2025-11-16,AMC Networks,13,30,7,50,0.140000
2025-11-16,AMN Healthcare Services,25,22,3,50,0.060000
2025-11-16,APA,16,24,10,50,0.200000
2025-11-16,APi Group,30,16,4,50,0.080000
2025-11-16,ARKO,15,31,4,50,0.080000
2025-11-16,ASGN,30,12,8,50,0.160000
2025-11-16,AT&T,13,28,9,50,0.180000
2025-11-16,ATI Inc,27,22,1,50,0.020000
2025-11-16,AbbVie,17,22,11,50,0.220000
2025-11-16,Abbott Laboratories,19,23,8,50,0.160000
2025-11-16,Abercrombie & Fitch,16,32,2,50,0.040000
2025-11-16,Academy Sports and Outdoors,31,18,1,50,0.020000
2025-11-16,Acadia Healthcare,7,31,12,50,0.240000
2025-11-16,Ace Hardware,16,27,7,50,0.140000
2025-11-16,Acuity Inc,27,17,6,50,0.120000
2025-11-16,Adams Resources & Energy,27,3,1,31,0.032258
2025-11-16,AdaptHealth,19,24,7,50,0.140000
2025-11-16,Adobe,26,18,6,50,0.120000
2025-11-16,Advance Auto Parts,15,28,7,50,0.140000
2025-11-16,Advanced Drainage Systems,46,0,4,50,0.080000
2025-11-16,Advanced Micro Devices,40,5,5,50,0.100000
2025-11-16,Advantage Solutions,39,10,1,50,0.020000
2025-11-16,Aflac,20,19,11,50,0.220000
2025-11-16,Agilent Technologies,28,21,1,50,0.020000
2025-11-16,Agilon Health,14,25,11,50,0.220000
2025-11-16,Air Lease,26,22,2,50,0.040000
2025-11-16,Air Products & Chemicals,15,29,6,50,0.120000
2025-11-16,Airbnb,4,29,17,50,0.340000
2025-11-16,Akamai Technologies,22,25,3,50,0.060000
2025-11-16,Alaska Air,16,28,6,50,0.120000
2025-11-16,Albemarle Corporation,33,16,1,50,0.020000
2025-11-16,Albertsons,26,24,0,50,0.000000
2025-11-16,Alcoa Corporation,28,18,4,50,0.080000
2025-11-16,Alexandria Real Estate Equities,17,16,17,50,0.340000
2025-11-16,Alight Solutions,15,29,6,50,0.120000
2025-11-16,Align Technology,13,27,10,50,0.200000
2025-11-16,Allegiant Travel Company,21,25,4,50,0.080000
2025-11-16,Alliance Resource Partners,22,17,11,50,0.220000
2025-11-16,Alliant Energy,41,6,3,50,0.060000
2025-11-16,Allison Transmission,23,20,7,50,0.140000
2025-11-16,Allstate,18,25,7,50,0.140000
2025-11-16,Ally Financial,14,30,6,50,0.120000
2025-11-16,Alpha Metallurgical Resources,14,22,14,50,0.280000
2025-11-16,Alphabet,10,33,7,50,0.140000
2025-11-16,Altice USA,22,20,8,50,0.160000
2025-11-16,Altria,17,26,7,50,0.140000
2025-11-16,Amazon,22,15,13,50,0.260000
2025-11-16,Ameren,17,27,6,50,0.120000
2025-11-16,American Airlines,9,24,17,50,0.340000
2025-11-16,American Axle & Manufacturing,11,35,4,50,0.080000
2025-11-16,American Eagle Outfitters,14,31,5,50,0.100000
2025-11-16,American Electric Power,23,18,9,50,0.180000
2025-11-16,American Express,28,21,1,50,0.020000
2025-11-16,American Family Insurance,23,22,5,50,0.100000
2025-11-16,American Financial Group,21,25,4,50,0.080000
