date,company,total,controlled,negative_serp,neutral_serp,positive_serp
2025-09-24,3M,1,0,1,0,0
2025-09-24,A O Smith,1,0,1,0,0
2025-09-24,A-Mark Precious Metals,1,0,1,0,0
2025-09-24,ABM Industries,1,0,1,0,0
2025-09-24,ADT,1,0,1,0,0
2025-09-24,AECOM,1,0,1,0,0
2025-09-24,AES,1,0,1,0,0
2025-09-24,AGCO,1,0,1,0,0
2025-09-24,AGNC Investment,1,0,1,0,0
2025-09-24,AIG,1,0,1,0,0
2025-09-24,AMC Entertainment,1,0,1,0,0
2025-09-24,AMC Networks,1,0,1,0,0
2025-09-24,AMN Healthcare Services,1,0,1,0,0
2025-09-24,APA,1,0,1,0,0
2025-09-24,APi Group,1,0,1,0,0
2025-09-24,ARKO,1,0,1,0,0
2025-09-24,ASGN,1,0,1,0,0
2025-09-24,AT&T,1,0,1,0,0
2025-09-24,ATI Inc,1,0,1,0,0
2025-09-24,AbbVie,1,0,1,0,0
2025-09-24,Abbott Laboratories,1,0,1,0,0
2025-09-24,Abercrombie & Fitch,1,0,1,0,0
2025-09-24,Academy Sports and Outdoors,1,0,1,0,0
2025-09-24,Acadia Healthcare,1,0,1,0,0
2025-09-24,Ace Hardware,1,0,1,0,0
2025-09-24,Acuity Inc,1,0,1,0,0
2025-09-24,Adams Resources & Energy,1,0,1,0,0
2025-09-24,AdaptHealth,1,0,1,0,0
2025-09-24,Adobe,1,0,1,0,0
2025-09-24,Advance Auto Parts,1,0,1,0,0
2025-09-24,Advanced Drainage Systems,1,0,1,0,0
2025-09-24,Advanced Micro Devices,1,0,1,0,0
2025-09-24,Advantage Solutions,1,0,1,0,0
2025-09-24,Aflac,1,0,1,0,0
2025-09-24,Agilent Technologies,1,0,1,0,0
2025-09-24,Agilon Health,1,0,1,0,0
2025-09-24,Air Lease,1,0,1,0,0
2025-09-24,Air Products & Chemicals,1,0,1,0,0
2025-09-24,Airbnb,1,0,1,0,0
2025-09-24,Akamai Technologies,1,0,1,0,0
2025-09-24,Alaska Air,1,0,1,0,0
2025-09-24,Albemarle Corporation,1,0,1,0,0
2025-09-24,Albertsons,1,0,1,0,0
2025-09-24,Alcoa Corporation,1,0,1,0,0
2025-09-24,Alexandria Real Estate Equities,1,0,1,0,0
2025-09-24,Alight Solutions,1,0,1,0,0
2025-09-24,Align Technology,1,0,1,0,0
2025-09-24,Allegiant Travel Company,1,0,1,0,0
2025-09-24,Alliance Resource Partners,1,0,1,0,0
2025-09-24,Alliant Energy,1,0,1,0,0
2025-09-24,Allison Transmission,1,0,1,0,0
2025-09-24,Allstate,1,0,1,0,0
2025-09-24,Ally Financial,1,0,1,0,0
2025-09-24,Alpha Metallurgical Resources,1,0,1,0,0
2025-09-24,Alphabet,1,0,1,0,0
2025-09-24,Altice USA,1,0,1,0,0
2025-09-24,Altria,1,0,1,0,0
2025-09-24,Amazon,1,0,1,0,0
2025-09-24,Ameren,1,0,1,0,0
2025-09-24,American Airlines,1,0,1,0,0
2025-09-24,American Axle & Manufacturing,1,0,1,0,0
2025-09-24,American Eagle Outfitters,1,0,1,0,0
2025-09-24,American Electric Power,1,0,1,0,0
2025-09-24,American Express,1,0,1,0,0
2025-09-24,American Family Insurance,1,0,1,0,0
2025-09-24,American Financial Group,1,0,1,0,0
2025-09-24,American Tower,1,0,1,0,0
2025-09-24,American Water Works,1,0,1,0,0
2025-09-24,Americold Realty Trust,1,0,1,0,0
2025-09-24,Ameriprise Financial,1,0,1,0,0
2025-09-24,Ametek,1,0,1,0,0
2025-09-24,Amgen,1,0,1,0,0
2025-09-24,Amica Mutual Insurance,1,0,1,0,0
2025-09-24,Amkor Technology,1,0,1,0,0
2025-09-24,Amphenol,1,0,1,0,0
2025-09-24,Analog Devices,1,0,1,0,0
2025-09-24,Antero Resources,1,0,1,0,0
2025-09-24,Anywhere Real Estate Inc,1,0,1,0,0
2025-09-24,Apollo Global Management,1,0,1,0,0
2025-09-24,AppLovin,1,0,1,0,0
2025-09-24,Apple,1,0,1,0,0
2025-09-24,Applied Industrial Technologies,1,0,1,0,0
2025-09-24,Applied Materials,1,0,1,0,0
2025-09-24,AptarGroup,1,0,1,0,0
2025-09-24,Aramark,1,0,1,0,0
2025-09-24,ArcBest,1,0,1,0,0
2025-09-24,Arch Resources,1,0,1,0,0
2025-09-24,Archer Daniels Midland,1,0,1,0,0
2025-09-24,Ares Management,1,0,1,0,0
2025-09-24,Arista Networks,1,0,1,0,0
2025-09-24,Arrow Electronics,1,0,1,0,0
2025-09-24,Arthur J Gallagher,1,0,1,0,0
2025-09-24,Asbury Automotive Group,1,0,1,0,0
2025-09-24,Assurant,1,0,1,0,0
2025-09-24,Atkore,1,0,1,0,0
2025-09-24,Atlassian,1,0,1,0,0
2025-09-24,Atmos Energy,1,0,1,0,0
2025-09-24,Auto-Owners Insurance,1,0,1,0,0
2025-09-24,AutoNation,1,0,1,0,0
2025-09-24,AutoZone,1,0,1,0,0
2025-09-24,Autodesk,1,0,1,0,0
2025-09-24,Autoliv,1,0,1,0,0
2025-09-24,Automatic Data Processing,1,0,1,0,0
2025-09-24,AvalonBay Communities,1,0,1,0,0
2025-09-24,Avantor,1,0,1,0,0
2025-09-24,Avery Dennison,1,0,1,0,0
2025-09-24,Avient,1,0,1,0,0
2025-09-24,Avis Budget,1,0,1,0,0
2025-09-24,Avnet,1,0,1,0,0
2025-09-24,BJ's Wholesale Club,1,0,1,0,0
2025-09-24,BOK Financial,1,0,1,0,0
2025-09-24,BWX Technologies,1,0,1,0,0
2025-09-24,Baker Hughes,1,0,1,0,0
2025-09-24,Ball Corporation,1,0,1,0,0
2025-09-24,Bank of America,1,0,1,0,0
2025-09-24,Bank of New York Mellon,1,0,1,0,0
2025-09-24,Bath & Body Works,1,0,1,0,0
2025-09-24,Baxter International,1,0,1,0,0
2025-09-24,Becton Dickinson,1,0,1,0,0
2025-09-24,Belden,1,0,1,0,0
2025-09-24,Benchmark Electronics,1,0,1,0,0
2025-09-24,Berkshire Hathaway,1,0,1,0,0
2025-09-24,Berry Global,1,0,1,0,0
2025-09-24,Best Buy,1,0,1,0,0
2025-09-24,Bio-Rad Laboratories,1,0,1,0,0
2025-09-24,Biogen,1,0,1,0,0
2025-09-24,BlackRock,1,0,1,0,0
2025-09-24,Blackstone,1,0,1,0,0
2025-09-24,Bloomin Brands,1,0,1,0,0
2025-09-24,BlueLinx,1,0,1,0,0
2025-09-24,Boeing,1,0,1,0,0
2025-09-24,Boise Cascade,1,0,1,0,0
2025-09-24,Booking Holdings,1,0,1,0,0
